,year,rank,team,points,year,rank,team,points,year,rank,team,points,year,rank,team,points,year,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,team,total.games,total.wins,total.losses,total.ties,season,team,totalPPA,percentPPA
21,2014,22,Kentucky,225.4,2015,22,Arkansas,222.51,2016,22,Miami,231.78,2017,22,Washington,224.74,2014,Colorado,12,2,10,0,Clemson,15,14,1,0,Clemson,15,14,1,0,Clemson,14,12,2,0,2018,Clemson,360.2,0.792
22,2014,23,Arizona State,223.19,2015,23,Michigan State,221.77,2016,23,Arkansas,219.34,2017,23,Nebraska,224.33,2014,Colorado State,13,10,3,0,Colorado,13,4,9,0,Colorado,14,10,4,0,Coastal Carolina,12,3,9,0,2018,Coastal Carolina,91.0,0.35
23,2014,24,Penn State,221.35,2015,24,Stanford,220.65,2016,24,Arizona State,217.62,2017,24,Mississippi State,220.22,2014,Connecticut,12,2,10,0,Colorado State,13,7,6,0,Colorado State,13,7,6,0,Colorado,12,5,7,0,2018,Colorado,203.9,0.578
24,2014,25,Baylor,218.13,2015,25,Missouri,217.98,2016,25,South Carolina,216.77,2017,25,Texas,217.76,2014,Duke,13,9,4,0,Connecticut,13,6,7,0,Connecticut,12,3,9,0,Colorado State,13,7,6,0,2018,Colorado State,115.8,0.209
25,2014,26,Michigan State,217.62,2015,26,Washington,215.83,2016,26,Nebraska,216.76,2017,26,Virginia Tech,217.74,2014,East Carolina,13,8,5,0,Duke,13,8,5,0,Duke,12,4,8,0,Connecticut,12,3,9,0,2018,Connecticut,168.2,0.522
26,2014,27,Oklahoma State,217.59,2015,27,Miami,215.49,2016,27,Oregon,216.42,2017,27,Arkansas,212.74,2014,Eastern Michigan,12,2,10,0,East Carolina,12,5,7,0,East Carolina,12,3,9,0,Duke,13,7,6,0,2018,Duke,224.9,0.849
27,2014,28,Virginia Tech,217.39,2015,28,North Carolina,214.05,2016,28,Mississippi State,211.11,2017,28,TCU,210.03,2014,Florida,12,7,5,0,Eastern Michigan,12,1,11,0,Eastern Michigan,13,7,6,0,East Carolina,12,3,9,0,2018,East Carolina,99.1,0.272
28,2014,29,Arkansas,215.5,2015,29,Virginia Tech,212.07,2016,29,Washington,209.87,2017,29,North Carolina,207.81,2014,Florida Atlantic,12,3,9,0,Florida,14,10,4,0,Florida,13,9,4,0,Eastern Michigan,12,5,7,0,2018,Eastern Michigan,49.3,0.183
29,2014,30,North Carolina,213.58,2015,30,Nebraska,211.72,2016,30,Pittsburgh,209.23,2017,30,Kentucky,207.73,2014,Florida International,12,4,8,0,Florida Atlantic,12,3,9,0,Florida Atlantic,12,3,9,0,Florida,11,4,7,0,2018,Florida,174.1,0.705
30,2014,31,Arizona,213.29,2015,31,NC State,208.69,2016,31,California,207.8,2017,31,Ole Miss,207.63,2014,Florida State,14,13,1,0,Florida International,12,5,7,0,Florida International,12,4,8,0,Florida Atlantic,14,11,3,0,2018,Florida Atlantic,255.6,0.494
31,2014,32,Wisconsin,205.44,2015,32,Texas Tech,203.18,2016,32,North Carolina,204.83,2017,32,Arizona State,206.68,2014,Fresno State,14,6,8,0,Florida State,13,10,3,0,Florida State,13,10,3,0,Florida International,13,8,5,0,2018,Florida International,87.9,0.228
32,2014,33,Virginia,205.34,2015,33,Louisville,201.4,2016,33,Duke,204.67,2017,33,Utah,205.78,2014,Georgia,13,10,3,0,Fresno State,12,3,9,0,Fresno State,12,1,11,0,Florida State,13,7,6,0,2018,Florida State,179.3,0.654
33,2014,34,NC State,201.31,2015,34,California,198.77,2016,34,Kentucky,204.07,2017,34,Louisville,205.15,2014,Georgia Southern,12,9,3,0,Georgia,13,10,3,0,Georgia,13,8,5,0,Fresno State,14,10,4,0,2018,Fresno State,343.7,0.855
34,2014,35,Nebraska,200.24,2015,35,West Virginia,198.02,2016,35,Wisconsin,202.85,2017,35,Colorado,203.78,2014,Georgia State,12,1,11,0,Georgia Southern,13,9,4,0,Georgia Southern,12,5,7,0,Georgia,15,13,2,0,2018,Georgia,332.9,0.632
35,2014,36,Mississippi State,199.92,2015,36,Baylor,195.88,2016,36,Houston,201.5,2017,36,Michigan State,203.65,2014,Georgia Tech,14,11,3,0,Georgia State,13,6,7,0,Georgia State,12,3,9,0,Georgia Southern,12,2,10,0,2018,Georgia Southern,97.5,0.625
36,2014,37,Missouri,198.53,2015,37,Michigan,194.82,2016,37,Utah,200.66,2017,37,Pittsburgh,202.12,2014,Hawai'i,13,4,9,0,Georgia Tech,12,3,9,0,Georgia Tech,13,9,4,0,Georgia State,12,7,5,0,2018,Georgia State,150.3,0.551
37,2014,38,Washington,198.52,2015,38,Kentucky,193.19,2016,38,Louisville,196.02,2017,38,Oklahoma State,194.18,2014,Houston,13,8,5,0,Hawai'i,13,3,10,0,Hawai'i,14,7,7,0,Georgia Tech,11,5,6,0,2018,Georgia Tech,163.2,0.742
38,2014,39,West Virginia,194.85,2015,39,TCU,191.44,2016,39,West Virginia,194.45,2017,39,Wisconsin,193.87,2014,Idaho,11,1,10,0,Houston,14,13,1,0,Houston,13,9,4,0,Hawai'i,12,3,9,0,2018,Hawai'i,77.3,0.284
39,2014,40,Texas Tech,191.82,2015,40,Oklahoma State,191.28,2016,40,Baylor,191.99,2017,40,Baylor,193.36,2014,Illinois,13,6,7,0,Idaho,12,4,8,0,Idaho,13,9,4,0,Houston,12,7,5,0,2018,Houston,120.9,0.324
40,2014,41,Maryland,190.98,2015,41,Wisconsin,189.85,2016,41,Maryland,190.15,2017,41,Iowa,191.44,2014,Indiana,12,4,8,0,Illinois,12,5,7,0,Illinois,12,3,9,0,Idaho,12,4,8,0,2018,Idaho,50.9,0.209
41,2014,42,South Florida,189.74,2015,42,Washington State,188.41,2016,42,Virginia Tech,190.06,2017,42,Rutgers,189.01,2014,Iowa,13,7,6,0,Indiana,13,6,7,0,Indiana,13,6,7,0,Illinois,12,2,10,0,2018,Illinois,104.0,0.77
42,2014,43,TCU,188.64,2015,43,Arizona,186.57,2016,43,Missouri,188.37,2017,43,Missouri,187.71,2014,Iowa State,12,2,10,0,Iowa,14,12,2,0,Iowa,13,8,5,0,Indiana,12,5,7,0,2018,Indiana,94.9,0.3
43,2014,44,Pittsburgh,187.66,2015,44,Georgia Tech,185.45,2016,44,Texas Tech,184.64,2017,44,Washington State,186.45,2014,Kansas,12,3,9,0,Iowa State,12,3,9,0,Iowa State,12,3,9,0,Iowa,13,8,5,0,2018,Iowa,252.9,0.824
44,2014,45,Louisville,183.64,2015,45,Utah,183.38,2016,45,Oklahoma State,184.33,2017,45,Arizona,185.88,2014,Kansas State,13,9,4,0,Kansas,12,0,12,0,Kansas,12,2,10,0,Iowa State,13,8,5,0,2018,Iowa State,248.9,0.567
45,2014,46,Vanderbilt,183.05,2015,46,Pittsburgh,183.18,2016,46,Minnesota,182.22,2017,46,Illinois,185.24,2014,Kent State,11,2,9,0,Kansas State,13,6,7,0,Kansas State,13,9,4,0,Kansas,12,1,11,0,2018,Kansas,146.3,0.856
46,2014,47,Northwestern,182.68,2015,47,Maryland,182.31,2016,47,Iowa,181.39,2017,47,Duke,184.46,2014,Kentucky,12,5,7,0,Kent State,12,3,9,0,Kent State,12,3,9,0,Kansas State,13,8,5,0,2018,Kansas State,180.2,0.57
47,2014,48,Indiana,180.46,2015,48,Illinois,181.74,2016,48,Arizona,180.42,2017,48,Georgia Tech,184.4,2014,Louisiana,13,9,4,0,Kentucky,12,5,7,0,Kentucky,13,7,6,0,Kent State,12,2,10,0,2018,Kent State,59.6,0.805
48,2014,49,Kansas State,178.29,2015,49,Vanderbilt,181.37,2016,49,BYU,177.85,2017,49,Texas Tech,183.07,2014,Louisiana Monroe,12,4,8,0,Louisiana,12,4,8,0,Louisiana,13,6,7,0,Kentucky,13,7,6,0,2018,Kentucky,108.9,0.34
49,2014,50,Kansas,177.14,2015,50,Virginia,179.92,2016,50,NC State,177.67,2017,50,Northwestern,182.07,2014,Louisiana Tech,14,9,5,0,Louisiana Monroe,13,2,11,0,Louisiana Monroe,12,4,8,0,Louisiana,12,5,7,0,2018,Louisiana,220.4,0.752
50,2014,51,Boston College,177.12,2015,51,Wake Forest,176.85,2016,51,Marshall,176.55,2017,51,Oregon State,181.32,2014,Louisville,13,9,4,0,Louisiana Tech,13,9,4,0,Louisiana Tech,14,9,5,0,Louisiana Monroe,12,4,8,0,2018,Louisiana Monroe,353.2,0.803
51,2014,52,Syracuse,176.87,2015,52,Duke,175.77,2016,52,Northwestern,174.91,2017,52,Iowa State,180.53,2014,LSU,13,8,5,0,Louisville,13,8,5,0,Louisville,13,9,4,0,Louisiana Tech,13,7,6,0,2018,Louisiana Tech,274.5,0.746
52,2014,53,Washington State,176.62,2015,53,Indiana,175.35,2016,53,Indiana,172.23,2017,53,NC State,180.46,2014,Marshall,14,13,1,0,LSU,12,9,3,0,LSU,12,8,4,0,Louisville,13,8,5,0,2018,Louisville,224.8,0.377
53,2014,54,Georgia Tech,175.71,2015,54,Kansas State,175.02,2016,54,Vanderbilt,171.54,2017,54,Syracuse,180.08,2014,Maryland,13,7,6,0,Marshall,13,10,3,0,Marshall,12,3,9,0,LSU,13,9,4,0,2018,LSU,74.8,0.188
54,2014,55,California,174.52,2015,55,Northwestern,174.83,2016,55,Iowa State,170.58,2017,55,UCF,178.34,2014,Memphis,13,10,3,0,Maryland,12,3,9,0,Maryland,13,6,7,0,Marshall,13,8,5,0,2018,Marshall,161.3,0.474
55,2014,56,Rutgers,174.14,2015,56,Rutgers,172.19,2016,56,Washington State,169.74,2017,56,Memphis,177.6,2014,Miami,13,6,7,0,Memphis,13,9,4,0,Memphis,13,8,5,0,Maryland,12,4,8,0,2018,Maryland,120.6,0.678
56,2014,57,Minnesota,172.32,2015,57,Syracuse,172.06,2016,57,Wake Forest,169.4,2017,57,West Virginia,174.68,2014,Miami (OH),12,2,10,0,Miami,13,8,5,0,Miami,13,9,4,0,Memphis,13,10,3,0,2018,Memphis,268.0,0.4
57,2014,58,Iowa,171.84,2015,58,Boise State,171.68,2016,58,Oregon State,169.17,2017,58,Virginia,172.5,2014,Michigan,12,5,7,0,Miami (OH),12,3,9,0,Miami (OH),13,6,7,0,Miami,13,10,3,0,2018,Miami,248.9,0.728
58,2014,59,Iowa State,171.65,2015,59,Iowa,169.99,2016,59,Temple,167.55,2017,59,Minnesota,171.42,2014,Michigan State,13,11,2,0,Michigan,13,10,3,0,Michigan,13,10,3,0,Miami (OH),12,5,7,0,2018,Miami (OH),206.3,0.661
59,2014,60,Oregon State,166.96,2015,60,Boston College,169.45,2016,60,Georgia Tech,167.13,2017,60,Florida Atlantic,171.18,2014,Middle Tennessee,12,6,6,0,Michigan State,14,12,2,0,Michigan State,12,3,9,0,Michigan,13,8,5,0,2018,Michigan,173.5,0.745
60,2014,61,Duke,166.35,2015,61,Oregon State,167.89,2016,61,Memphis,165.98,2017,61,Kansas State,169.37,2014,Minnesota,13,8,5,0,Middle Tennessee,13,7,6,0,Middle Tennessee,13,8,5,0,Michigan State,13,10,3,0,2018,Michigan State,325.7,0.947
61,2014,62,Marshall,165.64,2015,62,San José State,167.14,2016,62,Syracuse,165.15,2017,62,Indiana,167.99,2014,Mississippi State,13,10,3,0,Minnesota,13,6,7,0,Minnesota,13,9,4,0,Middle Tennessee,13,7,6,0,2018,Middle Tennessee,259.2,0.762
62,2014,63,Boise State,163.09,2015,63,Minnesota,167.01,2016,63,Virginia,164.95,2017,63,Cincinnati,167.8,2014,Missouri,14,11,3,0,Mississippi State,13,9,4,0,Mississippi State,13,6,7,0,Minnesota,12,5,7,0,2018,Minnesota,96.9,0.507
63,2014,64,BYU,161.71,2015,64,Iowa State,166.5,2016,64,Rutgers,163.8,2017,64,Boise State,167.43,2014,Navy,13,8,5,0,Missouri,12,5,7,0,Missouri,12,4,8,0,Mississippi State,13,9,4,0,2018,Mississippi State,258.8,0.866
64,2014,65,Cincinnati,161.43,2015,65,BYU,165.06,2016,65,UCF,162.22,2017,65,Vanderbilt,167.42,2014,NC State,13,8,5,0,Navy,13,11,2,0,Navy,14,9,5,0,Missouri,13,7,6,0,2018,Missouri,448.1,0.769
65,2014,66,Utah,160.67,2015,66,South Florida,163.15,2016,66,South Florida,161.21,2017,66,BYU,167.37,2014,Nebraska,13,9,4,0,NC State,13,7,6,0,NC State,13,7,6,0,Navy,13,7,6,0,2018,Navy,230.3,0.768
66,2014,67,Wake Forest,160.4,2015,67,Purdue,162.85,2016,67,Western Michigan,160.72,2017,67,Boston College,162.61,2014,Nevada,13,7,6,0,Nebraska,13,6,7,0,Nebraska,13,9,4,0,NC State,13,9,4,0,2018,NC State,375.8,0.785
67,2014,68,UCF,159.55,2015,68,Cincinnati,162.45,2016,68,Boise State,160.66,2017,68,Wake Forest,161.99,2014,New Mexico,12,4,8,0,Nevada,13,7,6,0,Nevada,12,5,7,0,Nebraska,12,4,8,0,2018,Nebraska,130.4,0.439
68,2014,69,Temple,156.27,2015,69,Colorado,162.04,2016,69,Colorado,160.42,2017,69,Houston,160.34,2014,New Mexico State,12,2,10,0,New Mexico,13,7,6,0,New Mexico,13,9,4,0,Nevada,12,3,9,0,2018,Nevada,267.0,0.807
69,2014,70,Purdue,156.02,2015,70,San Diego State,161.96,2016,70,Kansas,159.19,2017,70,California,159.53,2014,North Carolina,13,6,7,0,New Mexico State,12,3,9,0,New Mexico State,12,3,9,0,New Mexico,12,3,9,0,2018,New Mexico,108.6,0.687
70,2014,71,Western Michigan,153.42,2015,71,UCF,160.78,2016,71,UAB,158.61,2017,71,Kansas,159.35,2014,Northern Illinois,14,11,3,0,North Carolina,14,11,3,0,North Carolina,13,8,5,0,New Mexico State,13,7,6,0,2018,New Mexico State,141.1,0.314
71,2014,72,Illinois,153.35,2015,72,Fresno State,155.02,2016,72,Kansas State,155.49,2017,72,Purdue,158.89,2014,North Texas,12,4,8,0,Northern Illinois,14,8,6,0,Northern Illinois,12,5,7,0,North Carolina,12,3,9,0,2018,North Carolina,234.3,0.828
72,2014,73,San Diego State,147.92,2015,73,Kansas,153.94,2016,73,Illinois,153.64,2017,73,Colorado State,158.09,2014,Northwestern,12,5,7,0,North Texas,12,1,11,0,North Texas,13,5,8,0,Northern Illinois,13,8,5,0,2018,Northern Illinois,163.1,0.64
73,2014,74,Colorado,147.9,2015,74,Miami (OH),150.48,2016,74,Cincinnati,152.74,2017,74,Southern Mississippi,152.71,2014,Notre Dame,13,8,5,0,Northwestern,13,10,3,0,Northwestern,13,7,6,0,North Texas,14,9,5,0,2018,North Texas,400.0,0.731
74,2014,75,Houston,144.26,2015,75,Marshall,149.98,2016,75,SMU,152.27,2017,75,UT San Antonio,151.48,2014,Ohio,12,6,6,0,Notre Dame,13,10,3,0,Notre Dame,12,4,8,0,Northwestern,13,10,3,0,2018,Northwestern,212.8,0.643
75,2014,76,East Carolina,136.87,2015,76,Western Michigan,147.78,2016,76,Colorado State,150.5,2017,76,South Florida,150.65,2014,Ohio State,15,14,1,0,Ohio,13,8,5,0,Ohio,14,8,6,0,Notre Dame,13,10,3,0,2018,Notre Dame,254.0,0.677
76,2014,77,Old Dominion,136.07,2015,77,Memphis,146.79,2016,77,Georgia Southern,149.4,2017,77,San Diego State,149.69,2014,Oklahoma,13,8,5,0,Ohio State,13,12,1,0,Ohio State,13,11,2,0,Ohio,13,9,4,0,2018,Ohio,266.7,0.729
77,2014,78,Memphis,135.91,2015,78,Louisiana,146.18,2016,78,Boston College,146.69,2017,78,Toledo,146.6,2014,Oklahoma State,13,7,6,0,Oklahoma,13,11,2,0,Oklahoma,13,11,2,0,Ohio State,14,12,2,0,2018,Ohio State,370.1,0.607
78,2014,79,Tulsa,130.3,2015,79,Florida Atlantic,146.02,2016,79,East Carolina,146.62,2017,79,East Carolina,144.55,2014,Old Dominion,12,6,6,0,Oklahoma State,13,10,3,0,Oklahoma State,13,10,3,0,Oklahoma,14,12,2,0,2018,Oklahoma,336.9,0.404
79,2014,80,SMU,128.23,2015,80,Temple,143.34,2016,80,Purdue,145.09,2017,80,SMU,140.4,2014,Ole Miss,13,9,4,0,Old Dominion,12,5,7,0,Old Dominion,13,10,3,0,Oklahoma State,13,10,3,0,2018,Oklahoma State,219.5,0.306
80,2014,81,Nevada,126.15,2015,81,SMU,142.99,2016,81,UNLV,142.78,2017,81,Bowling Green,138.14,2014,Oregon,15,13,2,0,Ole Miss,13,10,3,0,Ole Miss,12,5,7,0,Old Dominion,12,5,7,0,2018,Old Dominion,103.4,0.718
81,2014,82,Southern Mississippi,125.74,2015,82,Louisiana Tech,142.32,2016,82,San Diego State,141.93,2017,82,Western Kentucky,138.03,2014,Oregon State,12,5,7,0,Oregon,13,9,4,0,Oregon,12,4,8,0,Ole Miss,12,6,6,0,2018,Ole Miss,297.3,0.623
82,2014,83,San José State,124.98,2015,83,Northern Illinois,138.94,2016,83,New Mexico,141.76,2017,83,Florida International,137.75,2014,Penn State,13,7,6,0,Oregon State,12,2,10,0,Oregon State,12,4,8,0,Oregon,13,7,6,0,2018,Oregon,255.4,0.657
83,2014,84,Fresno State,124.42,2015,84,Toledo,138.12,2016,84,San José State,137.84,2017,84,Fresno State,137.74,2014,Pittsburgh,13,6,7,0,Penn State,13,7,6,0,Penn State,14,11,3,0,Oregon State,12,1,11,0,2018,Oregon State,135.8,0.505
84,2014,85,Middle Tennessee,124.03,2015,85,Georgia Southern,137.18,2016,85,Fresno State,137.22,2017,85,Tulsa,135.07,2014,Purdue,12,3,9,0,Pittsburgh,13,8,5,0,Pittsburgh,13,8,5,0,Penn State,13,11,2,0,2018,Penn State,319.9,0.589
85,2014,86,Colorado State,122.77,2015,86,Middle Tennessee,134.77,2016,86,UMass,136.04,2017,86,Hawai'i,133.96,2014,Rice,13,8,5,0,Purdue,12,2,10,0,Purdue,12,3,9,0,Pittsburgh,12,5,7,0,2018,Pittsburgh,152.9,0.503
86,2014,87,Appalachian State,121.25,2015,87,Southern Mississippi,133.4,2016,87,South Alabama,134.08,2017,87,Marshall,132.84,2014,Rutgers,13,8,5,0,Rice,12,5,7,0,Rice,12,3,9,0,Purdue,13,7,6,0,2018,Purdue,213.9,0.778
87,2014,88,Western Kentucky,121.12,2015,88,South Alabama,132.17,2016,88,Toledo,132.92,2017,88,Navy,131.73,2014,San Diego State,13,7,6,0,Rutgers,12,4,8,0,Rutgers,12,2,10,0,Rice,12,1,11,0,2018,Rice,119.4,0.635
88,2014,89,Louisiana Tech,119.17,2015,89,Houston,131.58,2016,89,Florida Atlantic,132.74,2017,89,Western Michigan,129.94,2014,San José State,12,3,9,0,San Diego State,14,11,3,0,San Diego State,14,11,3,0,Rutgers,12,4,8,0,2018,Rutgers,55.5,0.466
89,2014,90,Tulane,118.86,2015,90,Arkansas State,131.45,2016,90,Arkansas State,132.18,2017,90,Ball State,128.8,2014,SMU,12,1,11,0,San José State,13,6,7,0,San José State,12,4,8,0,San Diego State,13,10,3,0,2018,San Diego State,173.3,0.451
90,2014,91,Rice,117.7,2015,91,Tulane,128.9,2016,91,Navy,132.07,2017,91,Middle Tennessee,128.1,2014,South Alabama,13,6,7,0,SMU,12,2,10,0,SMU,12,5,7,0,San José State,13,2,11,0,2018,San José State,167.7,0.986
91,2014,92,Toledo,115.38,2015,92,Ohio,128.68,2016,92,Utah State,130.65,2017,92,Texas State,127.89,2014,South Carolina,13,7,6,0,South Alabama,12,5,7,0,South Alabama,13,6,7,0,SMU,13,7,6,0,2018,SMU,321.9,0.639
92,2014,93,New Mexico,112.56,2015,93,East Carolina,126.85,2016,93,Miami (OH),129.79,2017,93,Central Michigan,127.4,2014,Southern Mississippi,12,3,9,0,South Carolina,12,3,9,0,South Carolina,13,6,7,0,South Alabama,12,4,8,0,2018,South Alabama,137.2,0.638
93,2014,94,Florida Atlantic,111.77,2015,94,North Texas,126.6,2016,94,Louisiana Tech,128.91,2017,94,Miami (OH),126.73,2014,South Florida,12,4,8,0,Southern Mississippi,14,9,5,0,Southern Mississippi,13,7,6,0,South Carolina,13,9,4,0,2018,South Carolina,273.8,0.889
94,2014,95,Arkansas State,111.51,2015,95,Texas State,124.71,2016,95,Tulsa,128.52,2017,95,Nevada,125.03,2014,Stanford,13,8,5,0,South Florida,13,8,5,0,South Florida,13,11,2,0,Southern Mississippi,13,8,5,0,2018,Southern Mississippi,166.0,0.429
95,2014,96,Georgia Southern,111.25,2015,96,Utah State,124.56,2016,96,Middle Tennessee,128.26,2017,96,Troy,123.9,2014,Syracuse,12,3,9,0,Stanford,14,12,2,0,Stanford,13,10,3,0,South Florida,12,10,2,0,2018,South Florida,126.2,0.287
96,2014,97,Texas State,109.9,2015,97,Central Michigan,123.63,2016,97,Tulane,127.78,2017,97,Northern Illinois,122.74,2014,TCU,13,12,1,0,Syracuse,12,4,8,0,Syracuse,12,4,8,0,Stanford,14,9,5,0,2018,Stanford,384.9,0.863
97,2014,98,Northern Illinois,109.52,2015,98,Nevada,122.5,2016,98,Troy,127.73,2017,98,San José State,122.11,2014,Temple,12,6,6,0,TCU,13,11,2,0,TCU,13,6,7,0,Syracuse,12,4,8,0,2018,Syracuse,179.3,0.573
98,2014,99,Hawai'i,108.34,2015,99,Connecticut,120.89,2016,99,Connecticut,126.83,2017,99,Wyoming,122.05,2014,Tennessee,13,7,6,0,Temple,14,10,4,0,Temple,14,10,4,0,TCU,14,11,3,0,2018,TCU,198.1,0.411
99,2014,100,Buffalo,108.06,2015,100,Florida International,120.42,2016,100,Southern Mississippi,126.05,2017,100,Louisiana Tech,121.72,2014,Texas,13,6,7,0,Tennessee,13,9,4,0,Tennessee,13,9,4,0,Temple,13,7,6,0,2018,Temple,192.9,0.53
100,2014,101,Ball State,107.53,2015,101,Rice,120.11,2016,101,Western Kentucky,124.1,2017,101,Connecticut,121.64,2014,Texas A&M,13,8,5,0,Texas,12,5,7,0,Texas,12,5,7,0,Tennessee,12,4,8,0,2018,Tennessee,104.2,0.655
